import time: self [us] | cumulative | imported package
import time:      1772 |       1772 |                                 torch.autograd.profiler_util
import time:      1585 |       4660 |                               torch.autograd.profiler
import time:      2992 |      46438 |                             torch.autograd
import time:       317 |      46754 |                           torch.autograd.profiler_legacy
import time:       180 |      46934 |                         torch.distributed.rpc.server_process_global_profiler
import time:      1054 |      50949 |                       torch.distributed.rpc
import time:      1325 |       1325 |                                   pickletools
import time:       253 |        253 |                                   torch.package._digraph
import time:       204 |        204 |                                   torch.package._importlib
import time:       185 |        185 |                                   torch.package._mangling
import time:       284 |        284 |                                     torch.package.importer
import time:       259 |        543 |                                   torch.package._package_pickler
import time:       300 |        300 |                                   torch.package._stdlib
import time:       267 |        267 |                                   torch.package.find_file_dependencies
import time:       964 |        964 |                                   torch.package.glob_group
import time:      1474 |       5509 |                                 torch.package.package_exporter
import time:       167 |       5676 |                               torch.package.analyze.find_first_use_of_broken_modules
import time:       170 |        170 |                               torch.package.analyze.trace_dependencies
import time:       174 |       6019 |                             torch.package.analyze
import time:       146 |       6165 |                           torch.package.analyze.is_from_package
import time:       184 |        184 |                           torch.package.file_structure_representation
import time:       154 |        154 |                             torch.package._directory_reader
import time:       143 |        143 |                             torch.package._package_unpickler
import time:       548 |        844 |                           torch.package.package_importer
import time:       179 |       7371 |                         torch.package
import time:        58 |       7428 |                       torch.package._mangling
import time:       436 |        436 |                       torch._awaits
import time:      1116 |      59927 |                     torch._jit_internal
import time:      2022 |       2022 |                     torch._torch_docs
import time:       280 |        280 |                     torch.nn._reduction
import time:       264 |        264 |                       torch.nn.modules.utils
import time:       486 |        749 |                     torch.nn.grad
import time:      4899 |      67875 |                   torch.nn.functional
import time:       391 |        391 |                   torch.nn.init
import time:       646 |        646 |                   torch.nn.modules.lazy
import time:       475 |      69387 |                 torch.nn.modules.linear
import time:       715 |        715 |                 torch.nn.modules.activation
import time:       610 |        610 |                   torch.nn.modules.container
import time:       369 |        979 |                 torch.nn.modules.adaptive
import time:       294 |        294 |                   torch.nn.modules._functions
import time:       428 |        721 |                 torch.nn.modules.batchnorm
import time:       158 |        158 |                 torch.nn.modules.channelshuffle
import time:       677 |        677 |                   torch.nn.common_types
import time:      1171 |       1847 |                 torch.nn.modules.conv
import time:       422 |        422 |                 torch.nn.modules.distance
import time:       583 |        583 |                 torch.nn.modules.dropout
import time:       215 |        215 |                 torch.nn.modules.flatten
import time:       218 |        218 |                 torch.nn.modules.fold
import time:       356 |        356 |                 torch.nn.modules.instancenorm
import time:       799 |        799 |                 torch.nn.modules.loss
import time:       362 |        362 |                 torch.nn.modules.normalization
import time:       463 |        463 |                 torch.nn.modules.padding
import time:       168 |        168 |                 torch.nn.modules.pixelshuffle
import time:       732 |        732 |                 torch.nn.modules.pooling
import time:       104 |        104 |                           torch.__future__
